February 22, 2016	February 15, 2016	February 8, 2016	February 1, 2016	January 25, 2016	January 18, 2016	January 11, 2016	January 4, 2016	December 28, 2015	December 21, 2015	December 14, 2015	December 7, 2015	November 30, 2015	November 23, 2015	November 16, 2015	November 9, 2015	November 2, 2015	October 26, 2015	October 19, 2015	October 12, 2015	October 5, 2015	September 28, 2015	September 21, 2015	September 14, 2015	September 7, 2015	August 31, 2015	August 24, 2015	August 17, 2015	August 10, 2015	August 3, 2015	July 27, 2015	July 20, 2015	July 13, 2015	July 6, 2015	June 29, 2015	June 22, 2015	June 15, 2015	June 8, 2015	June 1, 2015	May 25, 2015	May 18, 2015	May 11, 2015	May 4, 2015	April 27, 2015	April 20, 2015	April 13, 2015	April 6, 2015	March 30, 2015	March 23, 2015	March 16, 2015	March 9, 2015	March 2, 2015	February 23, 2015	February 16, 2015	February 9, 2015	February 2, 2015
Chan	25,447	15,981	46,925	851,893	826,446	779,521	743,222	701,637	688,324	671,108	636,711	616,929	571,990	541,384	523,242	505,734	485,064	463,374	437,188	423,431	398,356	385,371	364,035	361,932	349,560	338,004	330,751	324,641	316,713	312,918	304,435	298,285	285,502	273,818	261,888	249,220	240,135	233,598	219,558	211,274	185,665	171,594	162,115	140,710	123,835	104,303	96,607	89,369	83,305	74,296	63,476	54,903	47,985	42,777	35,598	30,224	23,322	12,361	4,917
Vafn	22,872	5,441	22,872	136,659	113,787	97,553	86,951	70,636	64,118	57,925	53,402	45,737	32,745	28,388	23,345	23,161	23,161	22,300	20,897	18,670	16,659	11,188	6,734	3,159	1,590	973	723	629	629																														
Cpt Krunch	22,165	30,599	69,851	2,024,726	2,002,561	1,940,912	1,903,882	1,883,469	1,857,663	1,789,767	1,767,923	1,736,086	1,688,689	1,681,193	1,646,361	1,621,821	1,572,712	1,533,098	1,505,067	1,485,806	1,473,543	1,464,407	1,457,584	1,440,109	1,430,321	1,422,803	1,412,720	1,406,685	1,390,670	1,387,451	1,377,588	1,352,618	1,323,617	1,298,616	1,272,874	1,236,275	1,217,149	1,189,336	1,161,433	1,150,034	1,119,862	1,087,798	1,054,193	1,003,438	956,142	924,019	885,683	815,832	779,597	733,944	674,168	651,752	611,816	585,055	553,135	492,617	454,610	402,980	
Jacob	17,476	17,476	17,476	178,504	161,028																																																						
moonlyfe	17,262	17,884	50,772	986,950	969,688	930,820	903,945	874,112	834,044	783,272	762,795	740,009	727,549	691,442	687,089	677,962	670,498	658,089	650,022	633,720	631,367	623,259	608,824	584,103	570,937	566,674	557,802	542,366	529,967	511,727	489,863	476,853	463,491	443,332	430,878	423,079	411,245	403,086	381,305	372,411	361,472	342,620	308,681	290,173	256,874	216,258	190,646	162,186	146,274	122,772	108,748	97,811	92,794	82,661	76,446	68,153	60,306	48,377	39,114
Mr TH7	17,064	6,930	17,064	156,650	139,586	136,012	132,098	129,193	128,443	118,571	108,143																																																
mikesaiks	15,202	6,470	47,354	355,831	340,629	293,275	273,948	265,112	255,816	255,095	255,095	254,244	246,481	243,201	238,852	238,435	236,959	236,959	236,959	235,630	234,258	232,905	223,455	217,394	216,722	212,343	205,081	195,790	192,407	183,362	177,198	176,417	168,311	145,812	140,959	124,732	92,247	82,905	68,374	65,606	63,904	57,274	55,871	54,099	52,286	50,560	43,345	38,583	37,295	33,535	29,070	26,114	23,079	21,159	19,349	18,563	16,792	15,013	12,900
A dozen orphans	14,182	9,432	36,984	714,586	700,404	695,020	692,306	691,454	690,219	686,644	684,156	683,777	683,217	682,622	678,683	675,233	655,620	644,365	625,975	606,406	569,422	544,809																																					
Qzaster	12,927	6,940	12,927	105,613	92,686	82,206	73,949	70,205	66,790	65,592	57,031																																																
dead tuna 2	7,149	10,449	35,557	709,077	701,928	701,622	701,332	699,943	699,943	699,943	697,816	693,941	693,182	691,188	688,672	678,598	658,273	642,458	639,947	635,499	632,680	625,730	623,551	606,173	595,755	567,074	532,000	496,443	461,893	433,546	427,309	412,353	409,614	401,876	395,503	387,959	369,189	353,819																					
Moracer3	6,011	3,611	13,266	130,686	124,675	114,747	109,316	105,946	99,005	96,739	95,560	94,750	94,181	92,708	91,183	89,357	86,833	86,108	83,314	80,371	67,105	58,997	52,661	45,178	42,568	41,354	37,721	35,380	32,498	29,741	28,626	26,544	25,121	22,365	18,177	15,139																							
✌ghostofsparta✌	4,866	25,348	48,906	832,972	828,106	819,211	770,305	739,162	703,232	689,209	655,538																																																
goober	4,539	477	4,539	22,704	18,165	15,819	11,988	10,679	10,098	8,758	8,368	7,916	7,590	6,121	5,709	5,379	5,189	5,019	4,086	4,086	4,086	4,086	4,086	4,086	4,086	4,086	3,943	3,813	3,513	2,949	2,172	2,072	2,072	1,302	1,212	1,122	932	932	679	679	449	448	327	297	291	291	291	291	291	291	291								
KT	3,724	2,352	6,604	108,181	104,457	99,019	94,498	91,012	84,408	83,180	76,606	74,255	68,825	64,901	62,018	57,730	54,559	50,658	46,416	40,441	34,139	28,044	22,019	18,608	15,032	11,463	8,974	8,523	6,184	3,557	3,066	2,946	2,507	2,507	1,209	501	259	65	65	0	0	0	0	0	0	0	0	0	0	0									
Impekkable	3,320	1,008	4,184	22,229	18,909	15,211	12,201	9,932	5,748	2,571	1,968	1,317	1,012	773	767	617	617	617	568	63	63	63	63	63	63	63																																	
slamtown1983	3,291	2,244	6,343	111,141	107,850	105,027	104,317	103,070	99,165	92,822	88,327	84,849	84,849	84,773	84,280	82,361	80,269	79,587	76,711	75,243																																							
targus	2,160	4,062	21,334	81,232	79,072	75,328	69,623	55,875	34,541	26,685	22,170	14,778	11,905	8,005	3,768	1,929	464	394	391	331	121	121	121	0																																			
ÇØ!BŸ	1,754	4,502	24,980	348,265	346,511	346,106	345,925	344,569	344,569	344,569	342,979	341,983	341,261	341,069	337,330	337,004	336,779	335,349	334,589	332,076	331,952	331,952	331,952	331,230	330,570	328,984	328,623	327,063	326,539	322,853	322,853	321,873	319,222	310,604	304,666	298,796	284,170	279,880	263,539	262,236	261,118	258,897	254,712	252,039	235,626	232,911	226,099	225,754	220,382	216,277	194,457	185,298	173,065	167,930	162,110	149,854	124,874	115,693	100,671
Schmidt	1,463	8,627	52,129	731,350	729,887	725,623	725,623	721,250	712,099	712,099	712,099	712,099	710,187	710,187	709,379	709,379	709,379	709,379	709,379	709,379	709,379	709,379	709,276	709,276	708,209	708,179	706,723	706,664	706,664	705,287	688,765	682,577	676,351	672,951	666,742	664,400	662,835	656,732	656,732	643,552	635,276	602,296	602,296	602,245	601,795	600,220	596,449	588,593	580,571	559,752	544,642	543,104	490,975	464,933	425,607	392,823	349,819	300,254	274,129
mitchell	712	763	1,198	8,902	8,190	7,274	6,076	5,474	4,844	4,166	3,558																																																
fvbk	626	891	3,582	34,763	34,137	32,310	31,856	31,807	28,560	25,883	22,301	20,181	16,656	16,607	16,607	16,607	16,607	16,607	15,776	14,628	12,803	10,739	10,243	9,127	9,127	8,258	6,493	6,243	4,147	4,129	3,594	3,053	2,893	2,207	2,030	1,621	1,621	1,621	1,621	1,590	953	887																	
Master LZ	365	8,049	18,614	304,544	304,179	299,912	281,298	264,972	257,040	256,253																																																	
King Zoll	360	3,829	19,147	148,768	148,408	147,173	144,255	142,921	141,844	138,393	134,628	115,481	112,716	110,477																																													
bubbleB97	283	414	636	4,891	4,608	4,284	3,648																																																				
Len $ Herb	89	272	1,221	1,805	1,716	495	446	446	446																																																		
Tiny Tina	11	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											
