February 15, 2016	February 8, 2016	February 1, 2016	January 25, 2016	January 18, 2016	January 11, 2016	January 4, 2016	December 28, 2015	December 21, 2015	December 14, 2015	December 7, 2015	November 30, 2015	November 23, 2015	November 16, 2015	November 9, 2015	November 2, 2015	October 26, 2015	October 19, 2015	October 12, 2015	October 5, 2015	September 28, 2015	September 21, 2015	September 14, 2015	September 7, 2015	August 31, 2015	August 24, 2015	August 17, 2015	August 10, 2015	August 3, 2015	July 27, 2015	July 20, 2015	July 13, 2015	July 6, 2015	June 29, 2015	June 22, 2015	June 15, 2015	June 8, 2015	June 1, 2015	May 25, 2015	May 18, 2015	May 11, 2015	May 4, 2015	April 27, 2015	April 20, 2015	April 13, 2015	April 6, 2015	March 30, 2015	March 23, 2015	March 16, 2015	March 9, 2015	March 2, 2015	February 23, 2015	February 16, 2015	February 9, 2015	February 2, 2015	January 26, 2015	January 19, 2015	January 12, 2015	January 5, 2015	December 29, 2014
Mr TH7	5,610,056	2,429,299	5,610,056	90,727,416	85,117,360	81,590,651	79,848,335	79,662,585	78,096,031	76,151,623																																																					
moonlyfe	3,447,899	4,558,920	15,863,903	288,286,213	284,838,314	281,361,758	278,387,560	275,464,181	270,507,825	266,850,974	263,487,945	262,614,788	259,111,019	258,371,955	257,336,883	256,280,639	253,872,370	252,505,520	250,285,967	250,053,561	249,308,336	246,030,303	241,438,692	238,366,100	237,175,448	234,066,175	229,478,594	227,685,874	224,366,299	220,292,245	219,135,443	217,258,155	212,636,613	208,995,841	206,467,522	202,180,354	197,451,224	192,064,767	187,652,090	182,597,215	173,794,219	157,930,316	150,827,248	138,705,896	126,046,235	117,090,830	110,363,623	103,982,375	96,562,331	91,452,728	87,080,720	82,366,393	76,459,339	71,063,258	64,217,223	56,664,851	52,355,524	47,363,526	37,545,611				
Campbell	3,371,495	5,068,954	17,455,584	383,065,147	379,693,652	368,451,399	357,652,944	348,114,336	338,444,120	333,998,271	330,525,037	329,242,126	324,976,596	319,817,702	317,667,386	314,036,957	311,232,895	308,350,934	304,370,814	302,965,820	296,907,031	296,526,328	294,556,606	292,054,387	291,269,756	289,930,040	285,233,360	278,928,170	276,261,390	267,074,542	264,237,222	261,804,710	253,846,947	250,543,429	238,581,651	235,129,289	231,290,434	228,059,488	225,485,193	224,105,589	217,770,299	200,314,715	192,485,946	191,606,949	191,169,761	185,980,257	185,082,402	183,503,326	176,907,301	166,381,547	164,089,465	161,628,982	159,538,236	155,880,739	149,940,038	142,179,038	129,722,187	123,202,485	113,830,030	107,538,225	100,244,003	94,134,792	
CAP$	3,046,515	5,569,590	13,115,504	733,884,697	730,838,182	725,953,640	720,441,923	713,899,360	708,989,017	701,775,283	696,375,087	691,902,202	684,213,569	676,900,030	672,975,986	670,832,855	663,515,772	657,105,942	651,862,020	645,988,071	640,838,169	634,083,332	628,117,776	621,273,127	616,839,229	612,285,545	606,849,025	603,385,361	601,030,565	596,621,274	583,505,770																																
Chan	2,762,500	3,947,308	8,291,944	227,201,706	224,439,206	222,677,336	219,195,680	217,841,664	215,915,433	213,206,139	210,523,778	206,557,555	203,530,504	201,057,807	198,771,902	194,969,931	192,125,796	188,396,135	186,116,604	181,849,454	179,051,955	176,184,760	175,807,518	173,921,865	172,223,053	171,103,069	169,875,625	169,025,254	168,249,134	167,274,983	166,060,491	162,713,797	158,119,859	154,325,749	148,648,655	145,888,934	143,325,398	140,654,713	136,952,002	129,715,078	123,242,584	118,391,801	113,756,869	105,548,829	98,524,938	93,554,516	88,456,938	84,916,290	78,437,577	70,584,843	64,359,458	58,361,010	54,918,772	46,626,828	41,036,528	36,399,873	30,993,505	24,212,826	17,859,797	14,351,810	8,622,711	7,197,321	2,205,167
Impekkable	2,661,559	1,023,971	2,768,609	27,522,981	24,861,422	22,092,813	20,092,119	18,338,670	17,073,313	16,035,279	15,056,802	12,358,218	11,747,897	11,349,411	10,784,005	10,091,120	9,602,880	8,182,747	7,732,210	7,336,980	7,112,211	6,890,937	6,776,909	6,337,551	6,019,588																																						
Moracer3	2,114,202	1,057,916	2,950,852	48,868,905	46,754,703	45,477,010	44,773,234	43,473,906	42,422,621	41,917,218	41,616,439	41,491,294	40,841,857	40,413,155	39,129,199	36,178,347	35,686,213	34,647,937	33,224,465	32,125,196	31,225,387	29,972,706	28,804,683	27,785,469	27,354,251	26,315,141	25,653,116	24,283,545	23,056,315	22,570,894	21,377,310	20,767,539	19,422,197	17,576,638	16,073,516																												
Qzaster	1,781,147	1,588,584	3,071,013	42,759,027	40,977,880	37,906,867	37,088,820	36,280,447	36,117,074	33,227,526																																																					
fvbk	1,553,648	482,228	2,139,577	24,980,872	23,427,224	22,715,342	22,353,355	21,393,753	20,796,675	20,455,583	19,731,552	18,202,824	18,201,338	18,201,338	18,201,338	18,054,491	18,054,491	17,957,044	17,711,817	17,538,108	17,390,924	17,359,157	17,091,442	17,040,024	16,994,624	16,640,601	16,535,784	15,649,802	15,620,993	15,076,645	14,771,941	14,375,758	12,942,107	10,802,530	9,777,227	8,998,693	8,373,517	8,012,280	7,878,140	7,606,913	7,138,448																						
targus	1,452,332	2,891,051	4,326,727	57,129,476	55,677,144	52,326,620	48,775,957	45,280,318	43,385,218	40,886,438	37,936,846	35,578,367	32,875,676	29,494,915	26,572,987	22,514,540	20,271,382	16,712,611	14,077,886	9,751,159	6,495,587	4,846,787	2,199,512																																								
KT	1,442,118	1,844,408	4,167,978	83,442,717	82,000,599	80,632,820	79,262,547	76,720,206	76,118,474	73,423,044	72,477,304	71,152,424	69,937,136	68,980,930	67,836,896	66,378,770	65,367,798	64,752,128	61,800,727	59,276,031	56,874,797	52,967,796	48,965,461	45,840,800	43,384,684	41,639,500	41,105,116	40,160,497	37,111,724	35,359,207	35,029,177	33,922,448	33,510,291	31,558,139	29,168,497	28,651,132	27,386,002	26,819,397	24,698,128	20,779,240	16,611,262	14,329,787	13,620,554	11,582,239	9,510,306	8,035,018	5,883,920	2,017,311	444,353														
ghostofsparta	1,085,701	3,634,501	6,203,824	226,610,630	225,524,929	219,321,105	215,893,745	210,682,861	208,616,129	204,803,624																																																					
Schmidt	751,312	2,702,477	14,126,650	328,627,859	327,876,547	327,876,547	327,304,134	326,162,309	326,162,309	326,162,309	326,162,309	325,943,021	325,943,021	325,658,882	325,658,882	325,658,882	325,658,882	325,658,882	325,658,882	325,658,882	325,658,882	325,629,154	325,629,154	325,540,775	325,536,446	325,187,274	324,978,740	324,978,740	324,870,422	321,943,124	321,236,932	318,731,952	317,953,150	316,165,046	315,461,827	315,380,849	314,427,149	314,427,149	313,509,267	312,827,291	308,308,419	308,308,419	308,265,333	308,192,334	307,720,957	307,299,915	304,846,339	303,421,931	300,084,410	296,674,693	295,278,409	281,618,291	272,482,034	263,156,066	256,973,642	244,379,480	232,509,768	223,516,519	211,376,559	206,241,565	196,683,643	188,713,336	174,586,686
mitchell	729,834	426,827	729,834	7,755,076	7,025,242	6,407,090	6,238,590	6,010,590	5,609,260	5,194,113																																																					
A dozen orphans	563,831	1,257,268	4,935,145	206,313,417	205,749,586	205,140,137	204,851,005	204,620,393	204,223,877	203,872,762	203,854,050	203,695,774	203,316,132	202,513,862	202,279,660	200,305,569	199,060,313	196,463,890	194,133,450	189,198,305	184,939,864																																										
Master LZ	530,327	2,897,423	5,547,072	120,071,898	119,541,571	114,766,906	109,219,834	106,032,288	105,584,785																																																						
goober	464,544	235,867	906,048	16,433,262	15,968,718	15,216,568	14,680,585	14,231,715	13,521,575	13,368,575	13,153,577	13,054,077	12,533,564	12,306,122	11,897,324	11,794,324	11,625,553	10,991,513	10,991,513	10,991,513	10,991,513	10,991,513	10,774,697	10,774,697	10,774,697	10,505,890	10,239,719	9,825,973	9,443,781	9,112,757	9,020,757	9,012,257	8,776,591	8,709,591	8,622,192	8,547,192	8,470,129	7,923,245	7,923,245	7,845,245	7,412,839	7,013,513	6,870,079	6,714,573	6,714,573	5,808,525	5,794,741	5,613,372	5,613,372	5,583,385													
King Zoll	321,889	1,151,449	3,806,330	75,054,478	74,732,589	74,325,226	73,564,229	73,275,509	71,838,815	69,495,567	65,689,237	65,340,986	64,691,437																																																		
Len $ Herb	267,970	169,245	267,970	3,513,484	3,245,514	3,127,180	3,002,074	2,836,504																																																							
sleepy	252,619	1,324,857	7,655,795	134,540,256	134,287,637	134,225,619	134,083,380	133,798,922	132,939,246	132,354,997	132,183,283	132,027,506	131,955,834	131,579,488	129,244,911	127,867,546	127,867,546	127,867,546	127,866,543	127,866,543	127,866,543	127,826,666	127,826,666	127,763,271	127,763,271	127,763,271	127,763,271	127,762,268	127,623,698	127,361,409	127,163,619	126,602,358	126,602,358	126,331,726	125,589,151	124,997,469	124,362,255	122,953,549	119,283,304	117,249,252	114,523,414	111,070,909	108,812,548	108,101,172	106,291,082	105,060,248	103,855,203	102,944,310	101,425,137	98,087,771	93,338,978	92,260,516	89,974,387	88,456,773	85,374,839	83,473,115	79,254,361	79,063,707	77,049,096	74,450,021	72,049,882	66,679,174	59,023,379
bubbleB97	208,561	297,869	387,177	8,375,162	8,166,601	7,779,424																																																									
GollumtheGreat	176,097	151,402	176,097	536,911	360,814	234,108																																																									
zac	173,800	127,520	173,800	13,788,746	13,614,946	13,533,706																																																									
slamtown1983	162,134	350,330	995,452	42,256,923	42,094,789	41,942,855	41,572,855	41,268,821	40,584,384	40,121,552	39,126,100	39,126,100	39,060,663	38,971,563	38,667,714	38,153,488	37,875,342	37,477,441	37,001,977																																												
dead tuna 2	112,000	1,536,565	5,329,830	234,057,231	233,945,231	233,906,031	233,407,094	233,407,094	233,407,094	233,177,546	232,513,159	232,300,413	231,990,893	231,740,511	230,177,800	227,806,839	225,798,770	225,413,689	224,575,085	224,088,796	223,265,883	222,712,392	221,049,093	218,739,188	214,615,516	211,000,000	205,988,873	202,785,956	199,943,377	199,208,568	196,946,243	196,600,082	195,284,001	193,698,379	192,398,334	188,680,422	183,350,592																										
xieck	93,281	98,417	575,029	2,158,313	2,065,032	1,851,044	1,370,979	1,125,087	755,646	180,617	107,666																																																					
